Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
PGA5		ENSG00000256713	"Pepsinogen A5"	P0DJD9	11	61241175-61251444	"Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins"	Digestion	"Aspartyl protease, Hydrolase, Protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	2028	"stomach 1: 38780.0"	"Cell type enriched"	"Detected in some"	22	"Exocrine glandular cells: 1696.1"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	35	"Stomach Adenocarcinoma (TCGA): 251.8"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	29	"classical monocyte: 1.8;intermediate monocyte: 4.3;non-classical monocyte: 2.4"	"Lineage enriched"	"Detected in single"	44	"monocytes: 4.3"	"Not detected"	"Not detected"			"Stomach - Chief cells"									HPA046875	Supported				"Secreted to digestive system"	Enzyme	NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 48: Stomach - Proteolysis"	"Cluster 51: Neurons - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 45: Non-specific - Mixed function"				"HPA046875: AB_2679851"			"unprognostic (1.04e-1)"								"unprognostic (5.42e-3)"	"unprognostic (1.29e-1)"	"unprognostic (2.72e-2)"							"unprognostic (5.31e-2)"	"unprognostic (2.59e-1)"							"unprognostic (1.42e-2)"			
CBLIF	"GIF, IF, IFMH, INF, TCN3"	ENSG00000134812	"Cobalamin binding intrinsic factor"	P27352	11	59829273-59845499	"Disease related genes, Human disease related genes, Metabolic proteins, Predicted secreted proteins"	"Cobalt transport, Ion transport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	1873	"stomach 1: 1533.7"	"Cell type enriched"	"Detected in some"	64	"Gastric mucus-secreting cells: 339.6"	"Cell type enhanced"	"Detected in some"		"midbrain-derived inhibitory: 5.4"	"Cancer enriched"	"Detected in some"	9	"Stomach Adenocarcinoma (TCGA): 14.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	10	"ovarian cancer: 1.0"	"Stomach - Parietal cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA039908, HPA040774"	Enhanced				"Secreted to digestive system"	Transport	NA	NA				"Cluster 48: Stomach - Proteolysis"		"Cluster 66: Non-specific - Mitochondria"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	5			"HPA039908: AB_10796335, HPA040774: AB_10795626"					"unprognostic (2.67e-3)"	"unprognostic (2.78e-3)"																			"unprognostic (2.93e-2)"	"unprognostic (2.17e-2)"		"unprognostic (3.09e-1)"			
GKN1	"AMP18, BRICD1, CA11"	ENSG00000169605	"Gastrokine 1"	Q9NS71	2	68974573-68980980	"Plasma proteins, Predicted secreted proteins, Transporters"		Mitogen		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	1856	"stomach 1: 36428.6"	"Cell type enriched"	"Detected in some"	518	"Gastric mucus-secreting cells: 8421.2"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	95	"Stomach Adenocarcinoma (TCGA): 436.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	26	"Bladder cancer: 18.4"	"Stomach - Gastric mucous cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA047684	Enhanced				"Secreted to digestive system"	Other	NA	NA		17000000		"Cluster 48: Stomach - Proteolysis"		"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	17			"HPA047684: AB_2680120"	"unprognostic (2.94e-2)"																					"unprognostic (1.45e-4)"						"unprognostic (3.15e-1)"			
PGA4		ENSG00000229183	"Pepsinogen A4"	P0DJD7	11	61222347-61231694	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"	Digestion	"Aspartyl protease, Hydrolase, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	1277	"stomach 1: 64644.4"	"Group enriched"	"Detected in some"	12	"Exocrine glandular cells: 38.9;Gastric mucus-secreting cells: 17.1"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	234	"Stomach Adenocarcinoma (TCGA): 1389.3"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	19	"classical monocyte: 9.9;intermediate monocyte: 10.8;non-classical monocyte: 3.4"	"Lineage enriched"	"Detected in single"	26	"monocytes: 10.8"	"Not detected"	"Not detected"			"Stomach - Chief cells"									HPA046875	Supported				"Secreted to digestive system"	Enzyme	NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 48: Stomach - Proteolysis"		"Cluster 49: HMC-1 - Innate immune response"	"Cluster 45: Non-specific - Mixed function"	8			"HPA046875: AB_2679851"			"unprognostic (2.65e-1)"								"unprognostic (1.43e-4)"	"unprognostic (5.14e-2)"								"unprognostic (1.48e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.11e-1)"						"unprognostic (6.08e-2)"			
PGA3		ENSG00000229859	"Pepsinogen A3"	P0DJD8	11	61203307-61213098	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"	Digestion	"Aspartyl protease, Hydrolase, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	613	"stomach 1: 86662.3"	"Cell type enriched"	"Detected in some"	29	"Gastric mucus-secreting cells: 3595.7"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	104	"Stomach Adenocarcinoma (TCGA): 502.9"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Not detected"	"Not detected"												"CAB026358, HPA046875"	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 29: Forebrain - Mixed function"	"Cluster 49: HMC-1 - Innate immune response"	"Cluster 46: Gastric mucus-secreting cells - Digestion"				"CAB026358: , HPA046875: AB_2679851"			"unprognostic (8.87e-1)"								"unprognostic (1.08e-3)"	"unprognostic (9.05e-2)"								"unprognostic (1.68e-1)"	"unprognostic (5.69e-2)"		"unprognostic (2.49e-1)"					"unprognostic (5.01e-2)"			
GAST	GAS	ENSG00000184502	Gastrin	P01350	17	41712331-41715969	"Cancer-related genes, FDA approved drug targets, Predicted secreted proteins"		Hormone	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	167	"stomach 1: 9294.1"	"Group enriched"	"Detected in some"	4	"Glandular and luminal cells: 105.4;Plasma cells: 56.3"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"Pancreatic Adenocarcinoma (TCGA): 81.2;Stomach Adenocarcinoma (TCGA): 33.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"cervical cancer: 2.8;colorectal cancer: 2.5;Esophageal cancer: 4.6;Gastric cancer: 9.0;head and neck cancer: 5.9"		"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			CAB000038	Enhanced				"Secreted to digestive system"	Hormone	NA	NA		81000		"Cluster 48: Stomach - Proteolysis"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 23: Plasma cells - Humoral immune response"	24			"CAB000038: "				"unprognostic (8.80e-2)"					"unprognostic (7.55e-3)"					"unprognostic (6.92e-3)"	"unprognostic (2.32e-1)"			"unprognostic (1.65e-1)"	"unprognostic (4.15e-3)"			"unprognostic (2.28e-1)"						"unprognostic (3.71e-1)"			
ATP4B	ATP6B	ENSG00000186009	"ATPase H+/K+ transporting subunit beta"	P51164	13	113648804-113658198	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"	"Cell adhesion, Hydrogen ion transport, Ion transport, Potassium transport, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	152	"stomach 1: 1067.1"	"Cell type enriched"	"Detected in some"	89	"Gastric mucus-secreting cells: 166.8"	"Group enriched"	"Detected in some"	60	"choroid plexus epithelial cell: 11.8;ependymal cell: 14.8"	"Cancer enriched"	"Detected in single"	5	"Stomach Adenocarcinoma (TCGA): 3.9"	"Region enriched"	"Detected in some"	6	"choroid plexus: 7.9"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Stomach - Parietal cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA045400, HPA052649"	Enhanced		Approved	"Plasma membrane"			NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	3	"Plasma membrane"		"HPA045400: AB_2679314, HPA052649: AB_2681900"																												"unprognostic (2.95e-1)"			
LIPF	"HGL, HLAL"	ENSG00000182333	"Lipase F, gastric type"	P07098	10	88664441-88678814	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted secreted proteins"	"Lipid degradation, Lipid metabolism"	Hydrolase	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	142	"stomach 1: 36201.8"	"Cell type enriched"	"Detected in some"	316	"Gastric mucus-secreting cells: 1628.3"	"Cell type enriched"	"Detected in single"	28	"ependymal cell: 6.1"	"Cancer enriched"	"Detected in some"	60	"Stomach Adenocarcinoma (TCGA): 499.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Stomach - Chief cells"	"Region enriched"	"Detected in single"	77	"olfactory bulb: 7.6"					HPA045930	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 48: Stomach - Proteolysis"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	1			"HPA045930: AB_10959518"			"unprognostic (6.73e-1)"																									"unprognostic (2.52e-1)"			
MUC5AC	MUC5	ENSG00000215182	"Mucin 5AC, oligomeric mucus/gel-forming"	P98088	11	1157953-1201138	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	102	"stomach 1: 180.4"	"Cell type enriched"	"Detected in some"	34	"Gastric mucus-secreting cells: 8881.6"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"Lung Adenocarcinoma (TCGA): 15.5;Pancreatic Adenocarcinoma (TCGA): 19.1;Stomach Adenocarcinoma (TCGA): 58.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 27.8;pancreatic cancer: 16.8"	"Lung - Respiratory ciliated cells, Stomach - Gastric mucous cells, Testis - Spermatogonia"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB002774, CAB009395, HPA040456, HPA040615, HPA070378, HPA077637"	Enhanced		Uncertain	Vesicles	"Secreted to digestive system"	"No annotated function"	NA	NA		1700000		"Cluster 48: Stomach - Proteolysis"		"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	4	Vesicles		"CAB002774: , CAB009395: AB_2146854, HPA040456: , HPA040615: AB_2677042, HPA070378: , HPA077637: "				"unprognostic (7.36e-2)"	"unprognostic (2.65e-1)"	"unprognostic (1.53e-3)"										"unprognostic (2.32e-2)"						"unprognostic (7.84e-4)"	"unprognostic (2.31e-2)"		"unprognostic (2.02e-3)"	"unprognostic (9.32e-2)"		"unprognostic (2.48e-1)"			
ATP4A	ATP6A	ENSG00000105675	"ATPase H+/K+ transporting subunit alpha"	P20648	19	35550031-35563658	"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters"	"Hydrogen ion transport, Ion transport, Potassium transport, Transport"	Translocase	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	83	"stomach 1: 819.1"	"Group enriched"	"Detected in some"	11	"Gastric mucus-secreting cells: 61.9;Late spermatids: 20.3"	"Group enriched"	"Detected in some"	8	"cerebellar inhibitory: 21.1;upper rhombic lip: 12.6"	"Cancer enriched"	"Detected in single"	16	"Stomach Adenocarcinoma (TCGA): 4.5"	"Region enhanced"	"Detected in some"		"cerebellum: 2.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adrenal gland - Adrenal cortex cells, Stomach - Parietal cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA039154, HPA076684"	Enhanced						NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 2: Neurons - Nucleosome"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 46: Gastric mucus-secreting cells - Digestion"	9			"HPA039154: AB_10672772, HPA076684: "																												"unprognostic (1.38e-1)"			
