Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ACSM2A	"A-923A4.1, ACSM2, MGC150530"	ENSG00000183747	"Acyl-CoA synthetase medium chain family member 2A"	Q08AH3	16	20451461-20487669	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	1179	"kidney: 267.2;liver: 351.8"	"Group enriched"	"Detected in some"	8	"Hepatocytes: 564.8;Proximal tubular cells: 318.8"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	578	"Kidney Renal Clear Cell Carcinoma (TCGA): 75.4;Kidney Renal Papillary Cell Carcinoma (TCGA): 123.1;Liver Hepatocellular Carcinoma (TCGA): 82.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"liver cancer: 1.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"				"HPA057699: AB_2683506"			"unprognostic (1.08e-1)"								"unprognostic (7.80e-6)"	"unprognostic (8.14e-3)"	"unprognostic (1.08e-4)"	"unprognostic (1.74e-4)"	"unprognostic (1.48e-7)"																
SLC12A1	"BSC, BSC-1, BSC1, CCC2, NKCC2"	ENSG00000074803	"Solute carrier family 12 member 1"	Q13621	15	48178438-48304078	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Potassium transport, Sodium transport, Symport, Transport"		"Bartter syndrome, Disease variant, FDA approved drug targets, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	825	"kidney: 687.0"	"Group enriched"	"Detected in some"	4	"Collecting duct cells: 33.1;Distal tubular cells: 92.2"	"Low cell type specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"Kidney Chromophobe (TCGA): 4.0;Kidney Renal Clear Cell Carcinoma (TCGA): 2.4;Kidney Renal Papillary Cell Carcinoma (TCGA): 5.0"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Ascending Loop of Henle cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"HPA014967, HPA018107"	Enhanced		Approved	Nucleoplasm,Vesicles			NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 1: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 39: Non-specific - Basic cellular processes"		Vesicles	Nucleoplasm	"HPA014967: AB_1854503, HPA018107: AB_1854504"			"unprognostic (2.19e-2)"							"unprognostic (3.67e-1)"	"unprognostic (1.67e-2)"	"unprognostic (1.49e-1)"	"unprognostic (5.54e-2)"		"unprognostic (2.98e-2)"																
TMEM174	"FLJ31268, MGC13034"	ENSG00000164325	"Transmembrane protein 174"	Q8WUU8	5	73173193-73175143	"Predicted membrane proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	800	"kidney: 147.7"	"Cell type enriched"	"Detected in some"	7	"Proximal tubular cells: 117.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"Kidney Renal Clear Cell Carcinoma (TCGA): 12.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			HPA037975	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 22: Non-specific - Mixed function"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	14			"HPA037975: AB_10672732"											"unprognostic (5.68e-8)"	"unprognostic (2.07e-4)"	"unprognostic (7.12e-4)"																		
UMOD		ENSG00000169344	Uromodulin	P07911	16	20333051-20356301	"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunity, Innate immunity"		"Ciliopathy, Disease variant, Nephronophthisis"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	689	"kidney: 2197.0"	"Group enriched"	"Detected in some"	164	"Collecting duct cells: 204.2;Distal tubular cells: 405.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	16	"Kidney Chromophobe (TCGA): 41.1;Kidney Renal Clear Cell Carcinoma (TCGA): 11.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells, Kidney - Ascending Loop of Henle cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB009446, HPA043420, HPA054721"	Enhanced				"Secreted in other tissues"	Immunity	NA	NA		80000000		"Cluster 52: Kidney - Transmembrane transport"		"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 39: Non-specific - Basic cellular processes"				"CAB009446: AB_2212378, HPA043420: AB_2678474, HPA054721: AB_2682585"			"unprognostic (1.03e-1)"							"unprognostic (3.39e-1)"	"unprognostic (7.08e-4)"	"unprognostic (6.28e-2)"	"unprognostic (1.15e-1)"																		
UGT1A9	"HLUGP4, LUGP4, UGT1AI"	ENSG00000241119	"UDP glucuronosyltransferase family 1 member A9"	O60656	2	233671898-233773300	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted membrane proteins"	"Lipid metabolism"	"Glycosyltransferase, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	368	"kidney: 442.6;liver: 190.3"	"Group enriched"	"Detected in some"	17	"Hepatocytes: 7.1;Proximal tubular cells: 5.8"					"Group enriched"	"Detected in some"	86	"Kidney Renal Clear Cell Carcinoma (TCGA): 101.8;Kidney Renal Papillary Cell Carcinoma (TCGA): 36.7;Liver Hepatocellular Carcinoma (TCGA): 82.6"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Kidney cancer: 109.6"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"																NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	2														"unprognostic (2.07e-3)"	"unprognostic (5.10e-2)"	"unprognostic (7.29e-5)"	"unprognostic (8.24e-3)"	"unprognostic (3.80e-1)"																
CYP4A11	"CYP4A2, CYP4AII"	ENSG00000187048	"Cytochrome P450 family 4 subfamily A member 11"	Q02928	1	46929177-46941484	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Fatty acid metabolism, Lipid metabolism"	"Monooxygenase, Oxidoreductase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	346	"kidney: 209.6;liver: 824.3"	"Cell type enriched"	"Detected in some"	5	"Hepatocytes: 449.1"	"Cell type enhanced"	"Detected in single"		"pericyte: 1.3"	"Group enriched"	"Detected in some"	18	"Kidney Renal Clear Cell Carcinoma (TCGA): 45.9;Liver Hepatocellular Carcinoma (TCGA): 126.7"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Liver - Hepatocytes"																NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 1: Neurons - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 43: Hepatocytes - Metabolism"							"unprognostic (7.63e-2)"								"unprognostic (8.34e-8)"	"unprognostic (1.15e-6)"	"unprognostic (2.25e-1)"	"unprognostic (1.03e-2)"	"unprognostic (9.21e-5)"																
ACSM2B	"ACSM2, HXMA, HYST1046"	ENSG00000066813	"Acyl-CoA synthetase medium chain family member 2B"	Q68CK6	16	20536226-20576427	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Fatty acid metabolism, Lipid metabolism"	Ligase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	331	"kidney: 399.0;liver: 510.9"	"Group enriched"	"Detected in some"	9	"Hepatocytes: 837.6;Proximal tubular cells: 400.7"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	88	"Kidney Renal Clear Cell Carcinoma (TCGA): 112.1;Kidney Renal Papillary Cell Carcinoma (TCGA): 70.9;Liver Hepatocellular Carcinoma (TCGA): 184.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes"									HPA057699	Supported						NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"HPA057699: AB_2683506"		"unprognostic (1.60e-4)"		"unprognostic (1.05e-1)"		"unprognostic (5.78e-2)"					"unprognostic (1.53e-4)"	"unprognostic (2.19e-3)"	"unprognostic (3.67e-2)"	"unprognostic (2.05e-4)"	"unprognostic (4.02e-7)"		"unprognostic (1.55e-1)"			"unprognostic (1.02e-2)"		"unprognostic (3.20e-2)"				"unprognostic (9.92e-2)"		"unprognostic (1.59e-2)"			"unprognostic (2.90e-1)"
SLC7A13	"AGT-1, XAT2"	ENSG00000164893	"Solute carrier family 7 member 13"	Q8TCU3	8	86214063-86321146	"Predicted membrane proteins, Transporters"	"Amino-acid transport, Antiport, Transport"			"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	231	"kidney: 40.4"	"Cell type enriched"	"Detected in some"	10	"Proximal tubular cells: 21.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 52: Kidney - Transmembrane transport"		"Cluster 27: Breast cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"							"unprognostic (3.82e-1)"																												
SLC22A12	"OAT4L, RST, URAT1"	ENSG00000197891	"Solute carrier family 22 member 12"	Q96S37	11	64590641-64602353	"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters"	"Ion transport, Transport"		"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	205	"kidney: 106.4"	"Cell type enriched"	"Detected in some"	20	"Proximal tubular cells: 128.6"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"Kidney Renal Clear Cell Carcinoma (TCGA): 24.1;Kidney Renal Papillary Cell Carcinoma (TCGA): 30.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			HPA024575	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 15: Non-specific - Transcription"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 38: Proximal tubular cells - Transmembrane transport"	1			"HPA024575: AB_1858650"											"unprognostic (1.47e-6)"	"unprognostic (6.02e-4)"	"unprognostic (2.40e-2)"	"unprognostic (2.17e-1)"	"unprognostic (3.38e-2)"																
SLC22A8	OAT3	ENSG00000149452	"Solute carrier family 22 member 8"	Q8TCC7	11	62989154-63015841	"FDA approved drug targets, Metabolic proteins, Predicted membrane proteins, Transporters"	"Detoxification, Ion transport, Lipid transport, Transport"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	203	"choroid plexus: 273.8;kidney: 322.8"	"Cell type enriched"	"Detected in some"	17	"Proximal tubular cells: 170.1"	"Cell type enriched"	"Detected in many"	6	"choroid plexus epithelial cell: 119.6"	"Group enriched"	"Detected in some"	4	"Kidney Renal Clear Cell Carcinoma (TCGA): 2.5;Kidney Renal Papillary Cell Carcinoma (TCGA): 4.5"	"Region enriched"	"Detected in some"	31	"choroid plexus: 242.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA044174	Enhanced						NA	NA				"Cluster 52: Kidney - Transmembrane transport"	"Cluster 36: Choroid plexus - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 38: Proximal tubular cells - Transmembrane transport"				"HPA044174: AB_10963058"											"unprognostic (2.05e-9)"	"unprognostic (1.28e-2)"	"unprognostic (3.53e-2)"																		
