Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
TG	"AITD3, TGN"	ENSG00000042832	Thyroglobulin	P01266	8	132866958-133134903	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Thyroid hormones biosynthesis"	"Hormone, Thyroid hormone"	"Cancer-related genes, Congenital hypothyroidism, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	689	"thyroid gland: 9062.1"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 10.9;Proximal tubular cells: 3.7;Salivary duct cells: 8.7"	"Cell type enhanced"	"Detected in many"		"amygdala excitatory: 52.6;ependymal cell: 45.7;hippocampal CA4: 73.9"	"Cancer enriched"	"Detected in many"	1516	"Thyroid Carcinoma (TCGA): 9544.6"	"Group enriched"	"Detected in some"	4	"amygdala: 5.8;cerebral cortex: 3.8;choroid plexus: 3.1;hippocampal formation: 3.3"	"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.0"	"Low lineage specificity"	"Detected in single"			"Cancer enriched"	"Detected in some"	9	"thyroid cancer: 16.6"	"Prostate - Prostate basal glandular cells, Thyroid gland - Thyroid glandular cells"	"Region enriched"	"Detected in single"	5	"cerebellum: 1.1"	"Low region specificity"	"Detected in many"			"CAB000077, HPA002740, CAB056155"	Enhanced				"Secreted in other tissues"	Hormone	NA	NA		930000	"Cluster 4: Neutrophils - Degranulation"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 29: Forebrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	2			"CAB000077: , CAB056155: AB_2665573, HPA002740: AB_1080277"	"unprognostic (4.40e-2)"		"unprognostic (7.94e-3)"		"unprognostic (1.13e-1)"	"unprognostic (3.37e-3)"				"unprognostic (5.37e-2)"			"unprognostic (4.64e-3)"					"unprognostic (9.03e-2)"				"unprognostic (2.26e-1)"		"unprognostic (5.48e-3)"	"unprognostic (1.31e-5)"	"unprognostic (1.25e-1)"				"unprognostic (2.31e-1)"	"unprognostic (8.45e-2)"
TPO	TPX	ENSG00000115705	"Thyroid peroxidase"	P07202	2	1374066-1543711	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Hydrogen peroxide, Thyroid hormones biosynthesis"	"Oxidoreductase, Peroxidase"	"Congenital hypothyroidism, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	69	"thyroid gland: 1540.7"	"Cell type enhanced"	"Detected in some"		"Adipocytes: 24.9;Endothelial cells: 14.3;Late spermatids: 7.3;Oocytes: 44.8"	"Cell type enhanced"	"Detected in many"		"endothelial cell: 6.8;lower rhombic lip: 6.6"	"Cancer enriched"	"Detected in single"	500	"Thyroid Carcinoma (TCGA): 418.4"	"Low region specificity"	"Detected in some"			"Group enriched"	"Detected in some"	12	"memory CD4 T-cell: 2.0;T-reg: 1.2"	"Lineage enriched"	"Detected in single"	20	"T-cells: 2.0"	"Group enriched"	"Detected in some"	6	"Myeloma: 4.7;thyroid cancer: 6.1"	"Pituitary gland - Corticotropes, Thyroid gland - Thyroid glandular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA007987, CAB009587, HPA073226"	Enhanced				"Intracellular and membrane"	Enzyme	NA	NA			"Cluster 6: T-cells - T-cell receptor"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 53: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"				"CAB009587: , HPA007987: AB_1080270, HPA073226: "			"unprognostic (2.99e-2)"																											"unprognostic (1.06e-2)"	
DIO1	TXDI1	ENSG00000211452	"Iodothyronine deiodinase 1"	P49895	1	53891239-53911086	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Thyroid hormones biosynthesis"	Oxidoreductase	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	42	"kidney: 139.6;liver: 179.7;thyroid gland: 252.7"	"Group enriched"	"Detected in some"	6	"Hepatocytes: 58.8;Proximal tubular cells: 66.3"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in many"	7	"Liver Hepatocellular Carcinoma (TCGA): 60.6;Thyroid Carcinoma (TCGA): 69.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	12	"breast cancer: 3.8;liver cancer: 2.5;prostate cancer: 4.9;thyroid cancer: 9.2"	"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 26: Oligodendrocytes - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"						"unprognostic (2.05e-2)"	"unprognostic (5.08e-2)"								"unprognostic (2.28e-1)"	"unprognostic (1.87e-1)"	"unprognostic (3.07e-1)"	"unprognostic (4.74e-3)"	"unprognostic (7.60e-2)"	"unprognostic (3.99e-4)"	"unprognostic (1.88e-1)"							"unprognostic (1.61e-1)"						"unprognostic (4.34e-4)"	
SLC26A4	"DFNB4, PDS"	ENSG00000091137	"Solute carrier family 26 member 4"	O43511	7	107660828-107717809	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters"	Transport		"Deafness, Disease variant, Non-syndromic deafness"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	29	"thyroid gland: 256.0"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 28.2;Inhibitory neurons: 52.1;Ionocytes: 47.9;Lymphatic endothelial cells: 24.7;Serous glandular cells: 24.7"	"Cell type enhanced"	"Detected in many"		"deep-layer intratelencephalic: 108.4;hippocampal CA1-3: 144.5;MGE interneuron: 108.7;miscellaneous: 103.6"	"Cancer enriched"	"Detected in some"	10	"Thyroid Carcinoma (TCGA): 97.8"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	8	"naive B-cell: 1.0"	"Lineage enriched"	"Detected in single"	8	"B-cells: 1.0"	"Cancer enriched"	"Detected in some"	7	"lymphoma: 16.1"	"Kidney - Intercalated cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Region enriched"	"Detected in many"	4	"hippocampal formation: 9.7"	"Region enhanced"	"Detected in many"		"hippocampal formation: 6.6"	HPA042860	Approved						NA	NA				"Cluster 51: Thyroid gland - Unknown function"	"Cluster 51: Neurons - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 8: Neurons - Neuronal signaling"				"HPA042860: AB_10796680"			"unprognostic (5.44e-2)"							"unprognostic (2.49e-1)"						"unprognostic (9.26e-3)"	"unprognostic (2.27e-2)"		"unprognostic (3.28e-2)"					"unprognostic (2.51e-1)"			"unprognostic (5.77e-2)"			"unprognostic (1.04e-2)"	
TBX22	"CLPA, CPX"	ENSG00000122145	"T-box transcription factor 22"	Q9Y458	X	80014753-80031774	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Deafness, Disease variant, Dwarfism"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	20	"testis: 10.8;thyroid gland: 4.6"	"Cell type enriched"	"Detected in some"	27	"Sertoli cells: 43.5"	"Cell type enhanced"	"Detected in some"		"ependymal cell: 3.3;thalamic excitatory: 2.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast myoepithelial cells, Skin - Eccrine sweat gland cells, Testis - Sertoli cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 44: Testis - Spermatogenesis"		"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 63: Late spermatids - Spermatogenesis"	10						"unprognostic (4.16e-2)"																												
BMP8A	OP-2	ENSG00000183682	"Bone morphogenetic protein 8a"	Q7Z5Y6	1	39491636-39529869	"Predicted secreted proteins"	"Chondrogenesis, Differentiation, Osteogenesis"	"Cytokine, Developmental protein, Growth factor"		"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in many"	16	"thyroid gland: 89.1"	"Cell type enriched"	"Detected in some"	7	"Late spermatids: 169.0"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Thyroid Carcinoma (TCGA): 24.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Myeloma: 8.2;prostate cancer: 7.3"	"Testis - Late spermatids"									HPA047254			Approved	Vesicles	"Secreted to blood"	Cytokine	NA	NA				"Cluster 51: Thyroid gland - Unknown function"	"Cluster 30: White matter - Myelination"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 36: Late spermatids - Unknown function"	11	Vesicles		"HPA047254: "	"unprognostic (7.64e-2)"	"unprognostic (1.39e-2)"	"unprognostic (4.67e-2)"	"unprognostic (1.11e-1)"	"unprognostic (4.01e-2)"	"unprognostic (3.17e-1)"	"unprognostic (3.74e-1)"		"unprognostic (1.56e-1)"		"unprognostic (2.49e-3)"	"unprognostic (2.00e-2)"				"unprognostic (4.16e-2)"	"unprognostic (1.80e-4)"	"unprognostic (1.02e-1)"	"unprognostic (1.11e-2)"	"unprognostic (8.11e-2)"		"unprognostic (7.27e-2)"	"unprognostic (4.24e-2)"	"unprognostic (1.98e-1)"	"unprognostic (3.84e-1)"	"unprognostic (7.13e-2)"	"unprognostic (2.98e-2)"	"unprognostic (2.32e-2)"	"unprognostic (1.67e-1)"	"unprognostic (4.14e-3)"	"unprognostic (4.24e-2)"
IYD	"C6orf71, DEHAL1, dJ422F24.1"	ENSG00000009765	"Iodotyrosine deiodinase"	Q6PHW0	6	150368892-150405969	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted membrane proteins"		Oxidoreductase	"Congenital hypothyroidism, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	14	"thyroid gland: 458.3"	"Cell type enhanced"	"Detected in some"		"Cholangiocytes: 13.4;Distal enterocytes: 19.9;Hepatocytes: 24.3;Intestinal goblet cells: 27.4;Paneth cells: 17.1;Proximal enterocytes: 76.2;Proximal tubular cells: 28.7"	"Group enriched"	"Detected in some"	6	"lower rhombic lip: 6.7;thalamic excitatory: 1.7"	"Cancer enriched"	"Detected in many"	17	"Thyroid Carcinoma (TCGA): 134.1"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"neutrophil: 2.0"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 2.8;Gastric cancer: 2.2"	"Colon - Colon enterocytes, Kidney - Proximal tubular cells, Liver - Hepatocytes, Skin - Sebaceous gland cells, Thyroid gland - Thyroid glandular cells"	"Group enriched"	"Detected in some"	13	"hippocampal formation: 7.4;thalamus: 2.4"	"Low region specificity"	"Detected in all"			HPA059627	Enhanced		Supported	"Plasma membrane"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 48: Non-specific - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 22: Proximal enterocytes - Digestion"	1	"Plasma membrane"		"HPA059627: AB_2684086"			"unprognostic (3.11e-2)"		"unprognostic (7.55e-2)"	"unprognostic (2.70e-1)"				"unprognostic (1.14e-1)"			"unprognostic (2.32e-2)"	"unprognostic (1.98e-4)"	"unprognostic (4.75e-4)"	"unprognostic (1.44e-1)"	"unprognostic (2.06e-1)"					"unprognostic (1.15e-1)"	"unprognostic (5.05e-2)"		"unprognostic (2.70e-2)"	"unprognostic (3.42e-2)"		"unprognostic (3.37e-2)"		"unprognostic (1.75e-2)"	
SLC26A7	SUT2	ENSG00000147606	"Solute carrier family 26 member 7"	Q8TE54	8	91209494-91398155	"Metabolic proteins, Predicted membrane proteins, Transporters"	"Anion exchange, Ion transport, Transport"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	14	"thyroid gland: 320.6"	"Cell type enhanced"	"Detected in some"		"Collecting duct cells: 9.7;Distal tubular cells: 15.4;Early spermatids: 12.6;Endometrial stromal cells: 18.9;Enteroendocrine cells: 21.1;Glandular and luminal cells: 45.5"	"Cell type enhanced"	"Detected in many"		"fibroblast: 41.6"	"Group enriched"	"Detected in some"	23	"Kidney Chromophobe (TCGA): 97.5;Thyroid Carcinoma (TCGA): 27.3"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	11	"Rhabdoid: 21.4"	"Kidney - Intercalated cells, Stomach - Parietal cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA023107, HPA053032"			Supported	"Golgi apparatus,Vesicles,Perinuclear theca,Mid piece"			NA	NA				"Cluster 51: Thyroid gland - Unknown function"	"Cluster 11: White matter - Signal transduction"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"		Vesicles	"Golgi apparatus, Perinuclear theca, Mid piece"	"HPA023107: , HPA053032: "			"unprognostic (1.03e-1)"							"unprognostic (5.48e-2)"	"unprognostic (2.36e-1)"										"unprognostic (3.77e-1)"									"unprognostic (5.50e-3)"	"unprognostic (1.48e-1)"
TSHR	LGR3	ENSG00000165409	"Thyroid stimulating hormone receptor"	P16473	14	80954989-81146306	"Cancer-related genes, Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes, Congenital hypothyroidism, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"thyroid gland: 265.8"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 6.7;Inhibitory neurons: 11.8;Langerhans cells: 7.2;Microglial cells: 6.3;Oligodendrocytes: 8.8;Plasma cells: 14.3"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	108	"Thyroid Carcinoma (TCGA): 218.1"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"naive B-cell: 1.7;T-reg: 6.9"	"Group enriched"	"Detected in many"	5	"B-cells: 1.7;T-cells: 6.9"	"Cancer enhanced"	"Detected in some"		"Myeloma: 10.0"	"Minor Salivary Gland - Plasma cells, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in some"			"Region enhanced"	"Detected in single"		"hypothalamus: 1.8"	CAB000473	Approved				"Intracellular and membrane"	Receptor	NA	NA			"Cluster 16: Non-specific - Cell proliferation"	"Cluster 51: Thyroid gland - Unknown function"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 61: Plasma cells - Immunoglobulins & histones"	14			"CAB000473: AB_2303782"			"unprognostic (1.51e-2)"			"unprognostic (4.86e-2)"	"unprognostic (1.44e-2)"												"unprognostic (3.77e-2)"	"unprognostic (8.55e-2)"	"unprognostic (1.18e-1)"					"unprognostic (2.54e-3)"		"unprognostic (1.57e-1)"		"unprognostic (1.96e-1)"	
NKX2-1	"BCH, NKX2A, TITF1, TTF-1, TTF1"	ENSG00000136352	"NK2 homeobox 1"	P43699	14	36516392-36521149	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Biological rhythms, Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"	"Cancer-related genes, Congenital hypothyroidism, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	9	"lung: 54.3;thyroid gland: 175.8"	"Group enriched"	"Detected in some"	11	"Alveolar cells type 1: 206.0;Alveolar cells type 2: 319.7"	"Group enriched"	"Detected in some"	6	"LAMP5-LHX6 and Chandelier: 1.3;mammillary body: 2.2"	"Group enriched"	"Detected in some"	16	"Lung Adenocarcinoma (TCGA): 88.3;Thyroid Carcinoma (TCGA): 169.1"	"Group enriched"	"Detected in many"	5	"cerebral cortex: 13.2;hypothalamus: 38.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	7	"lung cancer: 32.3;prostate cancer: 35.1;thyroid cancer: 42.4"	"Lung - Alveolar cells type 2"	"Group enriched"	"Detected in some"	5	"basal ganglia: 3.2;hypothalamus: 10.2"	"Group enriched"	"Detected in some"	13	"basal ganglia: 5.6;hypothalamus: 13.6"	"CAB000078, CAB053633, HPA074316"	Enhanced		Uncertain	"Golgi apparatus,Vesicles"			NA	NA				"Cluster 51: Thyroid gland - Unknown function"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 72: Alveolar cells - Lung function"	14	"Golgi apparatus, Vesicles"		"CAB000078: , CAB053633: AB_442138, HPA074316: "				"unprognostic (4.30e-2)"	"unprognostic (5.46e-1)"											"unprognostic (5.31e-3)"	"unprognostic (3.39e-2)"	"unprognostic (1.24e-3)"	"unprognostic (1.30e-1)"							"unprognostic (3.09e-1)"				"unprognostic (1.09e-1)"	"unprognostic (1.16e-1)"
