Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CELA2A	ELA2A	ENSG00000142615	"Chymotrypsin like elastase 2A"	P08217	1	15456728-15472091	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Diabetes mellitus, Disease variant, Obesity"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5427	"pancreas: 157554.2"	"Cell type enriched"	"Detected in some"	47	"Exocrine glandular cells: 3385.8"	"Cell type enhanced"	"Detected in single"		"upper rhombic lip: 1.4"	"Cancer enriched"	"Detected in single"	6472	"Pancreatic Adenocarcinoma (TCGA): 1379.7"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells"														"Secreted to digestive system"	Enzyme	NA	NA		4200000		"Cluster 15: Pancreas - Proteolysis"	"Cluster 37: Neurons - Mixed function"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	3																									"unprognostic (3.71e-2)"	"unprognostic (7.29e-2)"								
CPA1	CPA	ENSG00000091704	"Carboxypeptidase A1"	P15085	7	130380339-130388114	"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted secreted proteins"		"Carboxypeptidase, Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5399	"pancreas: 230013.6"	"Cell type enriched"	"Detected in some"	16	"Exocrine glandular cells: 4867.4"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	728	"Pancreatic Adenocarcinoma (TCGA): 2994.5"	"Region enhanced"	"Detected in single"		"choroid plexus: 2.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 1.1;Sarcoma: 1.2;Uterine cancer: 1.1"	"Pancreas - Exocrine glandular cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA021836, CAB025197, HPA052215"	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA		92000000		"Cluster 15: Pancreas - Proteolysis"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"				"CAB025197: , HPA021836: AB_1846005, HPA052215: AB_2681764"			"unprognostic (5.47e-2)"											"unprognostic (5.61e-1)"						"unprognostic (2.03e-1)"		"unprognostic (1.74e-2)"	"unprognostic (1.77e-2)"								
CTRB1	CTRB	ENSG00000168925	"Chymotrypsinogen B1"	P17538	16	75218988-75226338	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"	Digestion	"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5240	"pancreas: 129624.7"	"Cell type enriched"	"Detected in some"	23	"Exocrine glandular cells: 15190.7"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	2278	"Pancreatic Adenocarcinoma (TCGA): 2507.2"	"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																	"Secreted to digestive system"	Enzyme	NA	NA		12000000		"Cluster 15: Pancreas - Proteolysis"	"Cluster 15: Non-specific - Transcription"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	1																									"unprognostic (2.33e-1)"	"unprognostic (4.54e-3)"					"unprognostic (3.03e-1)"			
CELA3A	"ELA3, ELA3A"	ENSG00000142789	"Chymotrypsin like elastase 3A"	P09093	1	22001657-22012542	"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5176	"pancreas: 254229.0"	"Cell type enriched"	"Detected in some"	84	"Exocrine glandular cells: 13898.6"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	2564	"Pancreatic Adenocarcinoma (TCGA): 2976.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells"									"HPA028086, HPA045650"	Supported		Approved	Cytosol	"Secreted to digestive system"	Enzyme	NA	NA		340000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	14	Cytosol		"HPA028086: AB_2672482, HPA045650: AB_2679407"																						"unprognostic (5.95e-2)"	"unprognostic (1.76e-3)"					"unprognostic (2.54e-2)"			
PNLIP	PL	ENSG00000175535	"Pancreatic lipase"	P16233	10	116545931-116567855	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"	"Lipid degradation, Lipid metabolism"	Hydrolase	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4811	"pancreas: 430750.5"	"Cell type enriched"	"Detected in some"	15	"Exocrine glandular cells: 2323.2"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	4338	"Pancreatic Adenocarcinoma (TCGA): 2813.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			"HPA062430, HPA062494"	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA		8000000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 66: Non-specific - Mitochondria"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"				"HPA062430: AB_2684761, HPA062494: AB_2684782"																						"unprognostic (1.68e-2)"	"unprognostic (2.23e-2)"								
AMY2A	AMY2	ENSG00000243480	"Amylase alpha 2A"	P04746	1	103617427-103625780	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted secreted proteins"	"Carbohydrate metabolism"	"Glycosidase, Hydrolase"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4638	"pancreas: 148982.6"	"Cell type enriched"	"Detected in some"	135	"Exocrine glandular cells: 251.1"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	1679	"Pancreatic Adenocarcinoma (TCGA): 1027.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells"									"HPA045394, HPA045399, CAB045960, HPA046980"	Enhanced		Approved	"Golgi apparatus,Cytosol"	"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 51: Neurons - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	6	"Golgi apparatus, Cytosol"		"CAB045960: AB_2226891, HPA045394: AB_2679311, HPA045399: AB_2679313, HPA046980: AB_2679889"			"unprognostic (2.44e-1)"																			"unprognostic (1.96e-1)"	"unprognostic (7.32e-2)"								
PRSS1	TRY1	ENSG00000204983	"Serine protease 1"	P07477	7	142749468-142753072	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"	Digestion	"Hydrolase, Protease, Serine protease"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4460	"pancreas: 328383.5"	"Cell type enriched"	"Detected in some"	71	"Exocrine glandular cells: 25170.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	112	"Pancreatic Adenocarcinoma (TCGA): 2482.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Myeloma: 25.9"	"Pancreas - Exocrine glandular cells"									"CAB025487, CAB025538, HPA062452, HPA063471"	Enhanced		Approved	"Endoplasmic reticulum,Vesicles"	"Secreted to digestive system"	Enzyme	NA	NA		57000000000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	2	Vesicles	"Endoplasmic reticulum"	"CAB025487: , CAB025538: , HPA062452: AB_2684768, HPA063471: AB_2685017"	"unprognostic (8.46e-2)"		"unprognostic (3.58e-1)"		"unprognostic (4.91e-2)"					"unprognostic (5.93e-2)"				"unprognostic (6.90e-2)"		"unprognostic (1.59e-1)"	"unprognostic (2.71e-1)"			"unprognostic (8.60e-3)"	"unprognostic (1.75e-2)"	"unprognostic (1.14e-1)"	"unprognostic (1.27e-1)"					"unprognostic (2.55e-2)"		"unprognostic (2.40e-1)"	"unprognostic (1.40e-3)"
CLPS		ENSG00000137392	Colipase	P04118	6	35794982-35797344	"Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Digestion, Lipid degradation, Lipid metabolism"		"Diabetes mellitus"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	3971	"pancreas: 253763.2"	"Cell type enriched"	"Detected in some"	59	"Exocrine glandular cells: 10593.3"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	194	"Pancreatic Adenocarcinoma (TCGA): 2472.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	9	"breast cancer: 2.1"	"Pancreas - Exocrine glandular cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA010512	Enhanced				"Secreted to digestive system"	Other	NA	NA		4600000		"Cluster 15: Pancreas - Proteolysis"	"Cluster 51: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"				"HPA010512: AB_1846979"		"unprognostic (2.23e-1)"	"unprognostic (1.25e-2)"	"unprognostic (4.04e-1)"										"unprognostic (3.93e-1)"						"unprognostic (7.48e-2)"		"unprognostic (2.64e-1)"	"unprognostic (5.59e-2)"					"unprognostic (4.96e-2)"	"unprognostic (4.56e-2)"		"unprognostic (1.90e-1)"
CTRC	"CLCR, ELA4"	ENSG00000162438	"Chymotrypsin C"	Q99895	1	15438442-15449242	"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted secreted proteins"		"Hydrolase, Protease, Serine protease"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	3944	"pancreas: 24975.6"	"Cell type enriched"	"Detected in some"	14	"Exocrine glandular cells: 3609.8"	"Cell type enhanced"	"Detected in single"		"upper rhombic lip: 1.0"	"Cancer enriched"	"Detected in some"	125	"Pancreatic Adenocarcinoma (TCGA): 136.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells"					"Not detected"	"Not detected"			HPA046920	Enhanced				"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 48: Non-specific - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	13			"HPA046920: AB_2679865"			"unprognostic (4.76e-1)"																			"unprognostic (2.52e-1)"	"unprognostic (3.50e-2)"								"unprognostic (6.49e-2)"
PNLIPRP1	PLRP1	ENSG00000187021	"Pancreatic lipase related protein 1"	P54315	10	116590385-116609175	"Metabolic proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	3907	"pancreas: 10480.6"	"Cell type enriched"	"Detected in some"	19	"Exocrine glandular cells: 390.8"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	1034	"Pancreatic Adenocarcinoma (TCGA): 103.3"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted to digestive system"	"No annotated function"	NA	NA		340000		"Cluster 15: Pancreas - Proteolysis"		"Cluster 20: Myeloma - Immune response"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	31																									"unprognostic (1.81e-1)"	"unprognostic (1.82e-2)"								
