Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
MYH1	"MGC133384, MYHa, MyHC-2X/D, MYHSA1"	ENSG00000109061	"Myosin heavy chain 1"	P12882	17	10492307-10518542	"Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Calmodulin-binding, Motor protein, Muscle protein, Myosin"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	137	"skeletal muscle: 7599.5"	"Cell type enriched"	"Detected in some"	88	"Skeletal myocytes: 766.0"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	45	"Head and Neck Squamous Cell Carcinoma (TCGA): 11.5"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skeletal muscle - Skeletal myocytes, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"HPA001349, CAB010759"	Enhanced		Uncertain	"Focal adhesion sites"			NA	NA		46000000		"Cluster 2: Skeletal muscle - Striated muscle contraction"		"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 2: Skeletal myocytes - Muscle contraction"	10	"Focal adhesion sites"		"CAB010759: AB_477248, HPA001349: AB_1079437"									"unprognostic (3.36e-3)"																						
NMRK2	"ITGB1BP3, MIBP, NRK2"	ENSG00000077009	"Nicotinamide riboside kinase 2"	Q9NPI5	19	3933069-3942416	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Pyridine nucleotide biosynthesis"	"Kinase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	115	"heart muscle: 1390.9;skeletal muscle: 608.1;tongue: 688.7"	"Cell type enriched"	"Detected in some"	10	"Cardiomyocytes: 1139.5"	"Group enriched"	"Detected in some"	8	"deep-layer near-projecting: 1.9;vascular associated smooth muscle cell: 5.6"	"Group enriched"	"Detected in some"	4	"Kidney Chromophobe (TCGA): 41.7;Kidney Renal Papillary Cell Carcinoma (TCGA): 107.7"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"liver cancer: 2.9;skin cancer: 3.9;testis cancer: 5.6"	"Pituitary gland - Gonadotropes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA049909, HPA054792, HPA072450"	Approved		Enhanced	Nucleoplasm,Vesicles			NA	NA				"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 68: Cardiomyocytes - Muscle contraction"	2	Nucleoplasm	Vesicles	"HPA049909: , HPA054792: AB_2682601, HPA072450: AB_2686522"									"unprognostic (7.24e-3)"	"unprognostic (3.91e-3)"	"unprognostic (6.44e-2)"	"unprognostic (1.39e-1)"	"unprognostic (1.93e-1)"														"unprognostic (7.16e-2)"		"unprognostic (2.33e-2)"		
TNNC2	"CFAP85, FAP85"	ENSG00000101470	"Troponin C2, fast skeletal type"	P02585	20	45823214-45833745	"Human disease related genes, Predicted intracellular proteins"		"Muscle protein"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	109	"skeletal muscle: 29362.9;tongue: 7760.8"	"Cell type enriched"	"Detected in many"	51	"Skeletal myocytes: 16956.4"	"Low cell type specificity"	"Detected in many"			"Group enriched"	"Detected in many"	4	"Colon Adenocarcinoma (TCGA): 30.9;Head and Neck Squamous Cell Carcinoma (TCGA): 43.1;Lung Adenocarcinoma (TCGA): 21.0;Rectum Adenocarcinoma (TCGA): 47.5"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"colorectal cancer: 6.6;Sarcoma: 21.5"	"Skeletal muscle - Skeletal myocytes"	"Region enriched"	"Detected in some"	5	"olfactory bulb: 6.1"	"Low region specificity"	"Detected in some"			"HPA043174, HPA058481"	Enhanced		Approved	Nucleoplasm,Vesicles			No	NA		330000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 53: Neurons - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 2: Skeletal myocytes - Muscle contraction"	13	Nucleoplasm	Vesicles	"HPA043174: AB_10806380, HPA058481: AB_2683729"	"unprognostic (1.44e-1)"	"unprognostic (6.49e-2)"	"unprognostic (2.24e-2)"	"unprognostic (1.36e-2)"	"unprognostic (1.06e-1)"	"unprognostic (1.08e-1)"	"unprognostic (7.31e-5)"		"unprognostic (1.10e-2)"	"unprognostic (3.32e-2)"						"unprognostic (4.74e-4)"	"unprognostic (1.99e-2)"	"unprognostic (2.80e-1)"		"unprognostic (1.13e-1)"	"unprognostic (4.11e-1)"	"unprognostic (1.97e-1)"	"unprognostic (2.11e-1)"	"unprognostic (8.02e-2)"	"unprognostic (2.11e-1)"	"unprognostic (1.66e-1)"		"unprognostic (2.58e-3)"	"unprognostic (3.01e-1)"	"unprognostic (1.55e-2)"	"unprognostic (1.49e-1)"
MYL11	"HUMMLC2B, MRLC2, MYLPF"	ENSG00000180209	"Myosin light chain 11"	Q96A32	16	30370934-30377991	"Disease related genes, Human disease related genes, Predicted intracellular proteins"		"Motor protein, Muscle protein, Myosin"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	108	"skeletal muscle: 19217.8;tongue: 5684.3"	"Cell type enriched"	"Detected in many"	410	"Skeletal myocytes: 9525.7"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in some"	5	"Head and Neck Squamous Cell Carcinoma (TCGA): 40.1"	"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in single"	73	"plasmacytoid DC: 19.7"	"Lineage enriched"	"Detected in single"	73	"dendritic cells: 19.7"	"Cancer enriched"	"Detected in some"	4	"Sarcoma: 57.6"	"Skeletal muscle - Skeletal myocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039262, HPA055059"	Enhanced						NA	NA		620000	"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 15: Non-specific - Transcription"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 2: Skeletal myocytes - Muscle contraction"	7			"HPA039262: AB_2676418, HPA055059: AB_2732591"	"unprognostic (5.16e-1)"		"unprognostic (2.55e-1)"						"unprognostic (2.64e-3)"											"unprognostic (1.09e-1)"	"unprognostic (3.19e-1)"			"unprognostic (9.92e-2)"					"unprognostic (2.63e-1)"		
FBXO40	"Fbx40, KIAA1195"	ENSG00000163833	"F-box protein 40"	Q9UH90	3	121593379-121630295	"Plasma proteins, Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	96	"heart muscle: 87.3;skeletal muscle: 156.5;tongue: 96.5"	"Cell type enriched"	"Detected in some"	20	"Cardiomyocytes: 510.7"	"Cell type enhanced"	"Detected in many"		"mammillary body: 8.1;MGE interneuron: 8.2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Spleen - Neutrophils"	"Region enhanced"	"Detected in some"		"pons and medulla: 1.7"	"Low region specificity"	"Detected in many"										NA	NA				"Cluster 12: Heart muscle - Cardiac muscle contraction"	"Cluster 53: Neurons - Mixed function"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 68: Cardiomyocytes - Muscle contraction"	9																																		
KRTAP19-3	KAP19.3	ENSG00000244025	"Keratin associated protein 19-3"	Q7Z4W3	21	30491462-30492013	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	89	"skeletal muscle: 6.5;skin 1: 15.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Skin - Hair cortex cells"					"Not detected"	"Not detected"										NA	NA				"Cluster 13: Skin - Cornification"			"Cluster 35: Respiratory epithelial cells - Unknown function"	11																																		
MYBPC1	ssMyBP-C	ENSG00000196091	"Myosin binding protein C1"	Q00872	12	101568353-101686028	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cell adhesion"	"Actin-binding, Muscle protein"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	87	"skeletal muscle: 10887.8;tongue: 5006.5"	"Cell type enriched"	"Detected in some"	12	"Skeletal myocytes: 2399.5"	"Cell type enriched"	"Detected in many"	6	"astrocyte: 136.3"	"Cancer enhanced"	"Detected in many"		"Prostate Adenocarcinoma (TCGA): 77.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	28	"Gastric cancer: 6.1;prostate cancer: 9.0"	"Heart muscle - Cardiomyocytes, Prostate - Prostate glandular cells, Skeletal muscle - Skeletal myocytes, Skin - Eccrine sweat gland cells, Testis - Early spermatids, Testis - Late spermatids"	"Group enriched"	"Detected in many"	9	"cerebellum: 39.6;olfactory bulb: 10.6"	"Low region specificity"	"Detected in all"			"HPA021004, HPA027614"	Enhanced						NA	NA		190000		"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 57: Stomach & Colon cancer - Digestion"	"Cluster 2: Skeletal myocytes - Muscle contraction"	4			"HPA021004: AB_1854232, HPA027614: AB_10602711"	"unprognostic (1.24e-1)"	"unprognostic (9.76e-5)"	"unprognostic (1.78e-1)"				"unprognostic (1.41e-2)"	"unprognostic (9.47e-2)"	"unprognostic (2.81e-2)"							"unprognostic (1.66e-1)"		"unprognostic (1.10e-1)"	"unprognostic (4.72e-2)"			"unprognostic (2.02e-1)"	"unprognostic (1.67e-1)"	"unprognostic (8.34e-2)"				"unprognostic (4.66e-2)"			
MYL1	"MLC-1, MLC1, MLC1/3, MLC1F, MLC3F"	ENSG00000168530	"Myosin light chain 1"	P05976	2	210290150-210315174	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Motor protein, Muscle protein, Myosin"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	87	"skeletal muscle: 21042.5;tongue: 14976.0"	"Cell type enriched"	"Detected in some"	3668	"Skeletal myocytes: 6375.9"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	18	"Head and Neck Squamous Cell Carcinoma (TCGA): 75.5;Prostate Adenocarcinoma (TCGA): 24.2"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	17	"Sarcoma: 37.9"	"Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"	"Region enriched"	"Detected in single"	4	"olfactory bulb: 4.0"	"Low region specificity"	"Detected in all"			"HPA046859, HPA063034, HPA073827"	Enhanced						NA	NA		18000000		"Cluster 14: Skeletal muscle - Muscle contraction"		"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 2: Skeletal myocytes - Muscle contraction"	5			"HPA046859: AB_2679842, HPA063034: AB_2684927, HPA073827: "									"unprognostic (1.88e-3)"															"unprognostic (7.61e-2)"					"unprognostic (1.28e-1)"		
ATP2A1	"ATP2A, SERCA1"	ENSG00000196296	"ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1"	O14983	16	28878405-28904466	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Calcium transport, Ion transport, Transport"	Translocase	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	85	"skeletal muscle: 7952.4;tongue: 3076.1"	"Cell type enriched"	"Detected in some"	112	"Skeletal myocytes: 628.4"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"NK-cell: 1.6"	"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skeletal muscle - Skeletal myocytes"	"Region enriched"	"Detected in some"	8	"thalamus: 13.1"	"Group enriched"	"Detected in some"	6	"basal ganglia: 1.8;cerebral cortex: 2.0;hippocampal formation: 1.7"	"CAB002310, CAB032706, HPA066701"	Enhanced		Approved	"Endoplasmic reticulum"			NA	NA		2800000	"Cluster 13: Non-specific - Mitochondria"	"Cluster 2: Skeletal muscle - Striated muscle contraction"	"Cluster 6: Non-specific - Immune response"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 2: Skeletal myocytes - Muscle contraction"	16	"Endoplasmic reticulum"		"CAB002310: AB_564139, CAB032706: AB_2061286, HPA066701: "	"unprognostic (4.51e-3)"	"unprognostic (1.94e-1)"	"unprognostic (1.83e-1)"	"unprognostic (1.03e-3)"	"unprognostic (4.45e-3)"	"unprognostic (3.88e-2)"	"unprognostic (1.11e-1)"		"unprognostic (1.51e-1)"	"unprognostic (3.07e-1)"	"unprognostic (2.37e-6)"	"unprognostic (1.56e-4)"	"unprognostic (7.38e-2)"	"unprognostic (5.79e-3)"		"unprognostic (1.45e-1)"	"unprognostic (8.82e-2)"	"unprognostic (9.82e-3)"	"unprognostic (1.95e-2)"	"unprognostic (1.97e-1)"	"unprognostic (9.98e-4)"	"unprognostic (2.34e-1)"		"unprognostic (1.27e-1)"	"unprognostic (2.50e-1)"	"unprognostic (1.56e-1)"	"unprognostic (6.74e-2)"	"unprognostic (9.89e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.52e-2)"	"unprognostic (7.16e-2)"
CACNA1S	"CACNL1A3, Cav1.1, HOKPP, hypoPP, MHS5"	ENSG00000081248	"Calcium voltage-gated channel subunit alpha1 S"	Q13698	1	201039512-201112451	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Calmodulin-binding, Ion channel, Voltage-gated channel"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	85	"skeletal muscle: 245.8;tongue: 185.7"	"Cell type enriched"	"Detected in some"	15	"Skeletal myocytes: 106.4"	"Cell type enhanced"	"Detected in some"		"vascular associated smooth muscle cell: 5.7"	"Cancer enriched"	"Detected in single"	5	"Head and Neck Squamous Cell Carcinoma (TCGA): 1.0"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"breast cancer: 1.1"	"Adipose visceral - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"	"Region enhanced"	"Detected in single"		"olfactory bulb: 1.8"	"Region enriched"	"Detected in single"	5	"olfactory bulb: 3.8"	"CAB009507, HPA048892, HPA056815"	Enhanced		Approved	"Acrosome,Equatorial segment"			NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 2: Skeletal myocytes - Muscle contraction"	4	"Acrosome, Equatorial segment"		"CAB009507: AB_2069576, HPA048892: AB_2680548, HPA056815: AB_2683242"									"unprognostic (6.77e-3)"																						
