Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SFTPA1	"COLEC4, SFTP1, SP-A, SP-A1"	ENSG00000122852	"Surfactant protein A1"	Q8IWL2	10	79610939-79615455	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Gaseous exchange"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	1049	"lung: 6866.0"	"Cell type enriched"	"Detected in some"	23	"Alveolar cells type 2: 13843.8"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	27	"Lung Adenocarcinoma (TCGA): 1545.4;Lung Squamous Cell Carcinoma (TCGA): 424.8"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	27	"plasmacytoid DC: 2.7"	"Lineage enriched"	"Detected in single"	27	"dendritic cells: 2.7"	"Cancer enriched"	"Detected in single"	7	"lung cancer: 6.4"	"Lung - Alveolar cells type 2"									"CAB016793, HPA042638, HPA045752, HPA049368"	Supported				"Secreted in other tissues"	Other	NA	NA			"Cluster 44: Plasmacytoid DCs - Plasma membrane proteins"	"Cluster 57: Lung - Lung function"	"Cluster 37: Neurons - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 72: Alveolar cells - Lung function"	3			"CAB016793: , HPA042638: AB_2678095, HPA045752: AB_2679442, HPA049368: AB_2680731"																"unprognostic (1.48e-2)"	"unprognostic (1.45e-1)"	"unprognostic (8.37e-3)"	"unprognostic (2.55e-1)"					"unprognostic (3.26e-1)"						"unprognostic (1.22e-1)"	
SFTPC	"BRICD6, PSP-C, SFTP2, SMDP2, SP-C"	ENSG00000168484	"Surfactant protein C"	P11686	8	22156913-22164479	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Gaseous exchange"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	795	"lung: 17877.0"	"Cell type enriched"	"Detected in some"	27	"Alveolar cells type 2: 98114.0"	"Cell type enhanced"	"Detected in many"		"committed oligodendrocyte precursor: 12.3;oligodendrocyte: 18.7"	"Group enriched"	"Detected in some"	278	"Lung Adenocarcinoma (TCGA): 1709.6;Lung Squamous Cell Carcinoma (TCGA): 551.3"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	6	"Sarcoma: 1.5;skin cancer: 1.3"	"Lung - Alveolar cells type 2, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA010928	Enhanced				"Secreted in other tissues"	Other	NA	NA				"Cluster 57: Lung - Lung function"	"Cluster 11: White matter - Signal transduction"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 72: Alveolar cells - Lung function"	138			"HPA010928: AB_1857425"					"unprognostic (9.11e-1)"											"unprognostic (4.93e-3)"	"unprognostic (7.07e-2)"	"unprognostic (3.62e-2)"	"unprognostic (3.10e-1)"								"unprognostic (3.80e-1)"			"unprognostic (5.93e-2)"	
SFTPA2	"COLEC5, SP-A2"	ENSG00000185303	"Surfactant protein A2"	Q8IWL1	10	79555852-79560407	"Disease related genes, Human disease related genes, Predicted secreted proteins"	"Gaseous exchange"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	405	"lung: 10463.2"	"Cell type enriched"	"Detected in some"	18	"Alveolar cells type 2: 17736.2"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	21	"Lung Adenocarcinoma (TCGA): 2193.8;Lung Squamous Cell Carcinoma (TCGA): 630.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"lung cancer: 6.8;prostate cancer: 6.9"	"Lung - Alveolar cells type 2, Prostate - Prostate glandular cells"									"CAB002439, HPA042638, HPA045752, HPA049368"	Enhanced				"Secreted in other tissues"	Other	NA	NA				"Cluster 57: Lung - Lung function"	"Cluster 37: Neurons - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 72: Alveolar cells - Lung function"	19			"CAB002439: AB_564143, HPA042638: AB_2678095, HPA045752: AB_2679442, HPA049368: AB_2680731"	"unprognostic (4.66e-2)"		"unprognostic (4.41e-1)"		"unprognostic (4.82e-3)"	"unprognostic (8.96e-3)"										"unprognostic (1.86e-2)"	"unprognostic (1.45e-1)"	"unprognostic (7.69e-3)"	"unprognostic (2.09e-1)"			"unprognostic (4.17e-4)"	"unprognostic (9.87e-2)"	"unprognostic (2.25e-1)"	"unprognostic (1.42e-1)"	"unprognostic (1.34e-1)"		"unprognostic (1.89e-1)"		"unprognostic (1.36e-1)"	
SCGB3A2	"LU103, PNSP1, UGRP1"	ENSG00000164265	"Secretoglobin family 3A member 2"	Q96PL1	5	147870682-147882191	"Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	123	"lung: 1229.1"	"Group enriched"	"Detected in some"	4	"Alveolar cells type 2: 1445.1;Club cells: 1181.3"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	6	"Lung Adenocarcinoma (TCGA): 1224.6"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	50	"basophil: 72.2"	"Lineage enriched"	"Detected in many"	50	"granulocytes: 72.2"	"Low cancer specificity"	"Detected in all"				"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted in other tissues"	"No annotated function"	NA	NA		230000	"Cluster 46: Basophils - Proteolysis"	"Cluster 57: Lung - Lung function"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 72: Alveolar cells - Lung function"					"unprognostic (1.97e-1)"	"unprognostic (1.44e-1)"	"unprognostic (7.41e-3)"	"unprognostic (7.68e-2)"	"unprognostic (5.56e-2)"	"unprognostic (3.55e-2)"	"unprognostic (8.31e-2)"		"unprognostic (1.55e-1)"		"unprognostic (5.98e-5)"	"unprognostic (5.21e-2)"		"unprognostic (3.80e-1)"		"unprognostic (2.86e-2)"	"unprognostic (4.58e-2)"	"unprognostic (5.05e-2)"	"unprognostic (1.09e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.40e-2)"	"unprognostic (2.51e-2)"		"unprognostic (1.25e-1)"	"unprognostic (9.61e-2)"		"unprognostic (1.30e-1)"	"unprognostic (4.98e-1)"	"unprognostic (4.09e-2)"	"unprognostic (3.35e-3)"
CLDN18	SFTPJ	ENSG00000066405	"Claudin 18"	P56856	3	137998735-138033655	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	51	"lung: 244.4;stomach 1: 706.2"	"Group enriched"	"Detected in some"	32	"Alveolar cells type 1: 661.9;Alveolar cells type 2: 361.3;Gastric mucus-secreting cells: 1092.4"	"Cell type enhanced"	"Detected in many"		"ependymal cell: 12.9"	"Group enriched"	"Detected in some"	7	"Pancreatic Adenocarcinoma (TCGA): 147.1;Stomach Adenocarcinoma (TCGA): 234.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gastric cancer: 17.9;pancreatic cancer: 12.4"	"Lung - Alveolar cells type 1, Stomach - Gastric mucous cells, Testis - Spermatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB013010, CAB013243, HPA018446"	Enhanced		Approved	"Cell Junctions"			NA	NA				"Cluster 48: Stomach - Proteolysis"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 45: Non-specific - Mixed function"	2	"Cell Junctions"		"CAB013010: AB_2533382, CAB013243: AB_2533383, HPA018446: AB_2669866"			"unprognostic (1.94e-2)"		"unprognostic (1.08e-1)"	"unprognostic (4.42e-1)"									"unprognostic (4.42e-2)"	"unprognostic (1.49e-3)"	"unprognostic (9.79e-2)"	"unprognostic (1.06e-2)"	"unprognostic (2.55e-1)"			"unprognostic (3.21e-2)"	"unprognostic (7.49e-4)"		"unprognostic (2.76e-2)"	"unprognostic (1.39e-1)"		"unprognostic (2.45e-1)"			
SFTPB	"SFTP3, SP-B"	ENSG00000168878	"Surfactant protein B"	P07988	2	85657314-85668741	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Gaseous exchange"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	31	"lung: 3453.9"	"Group enriched"	"Detected in some"	14	"Alveolar cells type 1: 6026.1;Alveolar cells type 2: 12958.3"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	6	"Lung Adenocarcinoma (TCGA): 3804.2"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in some"		"thyroid cancer: 19.2"	"Lung - Alveolar cells type 2"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"CAB002440, HPA034820, HPA062148"	Enhanced				"Secreted in other tissues"	Other	NA	NA		36000000	"Cluster 40: Monocytes - Innate immune response"	"Cluster 57: Lung - Lung function"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 72: Alveolar cells - Lung function"				"CAB002440: AB_564142, HPA034820: AB_2674347, HPA062148: AB_2684697"	"unprognostic (3.93e-3)"		"unprognostic (1.81e-2)"	"unprognostic (5.92e-2)"	"unprognostic (2.44e-3)"	"unprognostic (4.01e-2)"				"unprognostic (1.81e-1)"	"unprognostic (7.72e-5)"		"unprognostic (9.63e-2)"			"unprognostic (1.14e-4)"	"unprognostic (7.63e-3)"	"unprognostic (1.13e-2)"	"unprognostic (1.41e-1)"	"unprognostic (5.49e-3)"				"unprognostic (1.71e-2)"		"unprognostic (6.79e-2)"		"unprognostic (1.85e-2)"	"unprognostic (6.38e-2)"	"unprognostic (6.50e-2)"	"unprognostic (1.42e-2)"
SFTPD	"COLEC7, SFTP4, SP-D"	ENSG00000133661	"Surfactant protein D"	P35247	10	79937467-79982614	"Predicted secreted proteins"	"Gaseous exchange, Immunity, Innate immunity"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	25	"lung: 492.1"	"Cell type enriched"	"Detected in many"	6	"Alveolar cells type 2: 1469.1"	"Cell type enhanced"	"Detected in many"		"choroid plexus epithelial cell: 37.7"	"Group enriched"	"Detected in many"	15	"Lung Adenocarcinoma (TCGA): 210.7;Lung Squamous Cell Carcinoma (TCGA): 57.2"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	12	"intermediate monocyte: 10.0;non-classical monocyte: 36.5"	"Lineage enriched"	"Detected in many"	18	"monocytes: 36.5"	"Low cancer specificity"	"Detected in some"			"Lung - Alveolar cells type 2, Skin - Keratinocyte (other)"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"CAB004578, HPA044582, HPA056768"	Enhanced				"Secreted in other tissues"	Immunity	NA	NA		5300000	"Cluster 40: Monocytes - Innate immune response"	"Cluster 57: Lung - Lung function"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 1: Neuronal - Visual perception"	"Cluster 72: Alveolar cells - Lung function"	2			"CAB004578: AB_628276, HPA044582: AB_2679004, HPA056768: AB_2683232"	"unprognostic (3.07e-2)"	"unprognostic (5.46e-3)"	"unprognostic (1.04e-1)"	"unprognostic (1.41e-2)"					"unprognostic (5.28e-2)"		"unprognostic (1.03e-4)"	"unprognostic (1.31e-2)"	"unprognostic (8.81e-6)"			"unprognostic (1.31e-3)"	"unprognostic (4.69e-2)"	"unprognostic (3.66e-2)"	"unprognostic (2.83e-1)"	"unprognostic (1.88e-1)"	"unprognostic (3.60e-1)"	"unprognostic (1.84e-1)"		"unprognostic (1.54e-1)"				"unprognostic (7.25e-3)"	"unprognostic (2.00e-1)"	"unprognostic (1.76e-1)"	"unprognostic (1.62e-2)"
ROS1	"c-ros-1, MCF3, ROS"	ENSG00000047936	"ROS proto-oncogene 1, receptor tyrosine kinase"	P08922	6	117287353-117425942	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins"		"Kinase, Receptor, Transferase, Tyrosine-protein kinase"	"Cancer-related genes, FDA approved drug targets, Proto-oncogene"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	20	"epididymis: 57.2;lung: 30.7"	"Cell type enriched"	"Detected in some"	8	"Alveolar cells type 2: 148.5"	"Group enriched"	"Detected in some"	4	"deep-layer corticothalamic and 6b: 2.9;upper-layer intratelencephalic: 2.3"	"Cancer enriched"	"Detected in some"	4	"Lung Adenocarcinoma (TCGA): 20.0"	"Region enhanced"	"Detected in some"		"cerebral cortex: 7.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bile duct cancer: 5.6;Bone cancer: 8.7;Brain cancer: 5.6"	"Lung - Alveolar cells type 2, Skin - Sebaceous gland cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA049098, HPA072424"	Uncertain		Approved	Vesicles			NA	NA				"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 53: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 72: Alveolar cells - Lung function"	12	Vesicles		"HPA049098: AB_2680628, HPA072424: AB_2686519"									"unprognostic (1.32e-1)"							"unprognostic (1.03e-1)"	"unprognostic (2.69e-1)"	"unprognostic (5.14e-3)"	"unprognostic (9.03e-2)"												
AGER	"RAGE, SCARJ1, sRAGE"	ENSG00000204305	"Advanced glycosylation end-product specific receptor"	Q15109	6	32180968-32184322	"Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Inflammatory response"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	19	"lung: 704.7"	"Cell type enriched"	"Detected in many"	21	"Alveolar cells type 1: 2481.0"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 11.5"	"Group enriched"	"Detected in some"	12	"Lung Adenocarcinoma (TCGA): 16.2;Lung Squamous Cell Carcinoma (TCGA): 8.0;Thyroid Carcinoma (TCGA): 9.9"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Kidney cancer: 2.2"	"Lung - Alveolar cells type 1"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			"CAB011682, HPA064436, HPA069474"	Enhanced		Approved	"Nucleoli fibrillar center,Plasma membrane,Cell Junctions"	"Secreted in other tissues"	Other	NA	NA		91000		"Cluster 57: Lung - Lung function"		"Cluster 15: Kidney cancer - Membrane components"	"Cluster 72: Alveolar cells - Lung function"	12	"Plasma membrane, Cell Junctions"	"Nucleoli fibrillar center"	"CAB011682: AB_2258049, HPA064436: AB_2685264, HPA069474: "			"unprognostic (5.72e-2)"												"unprognostic (3.51e-2)"	"unprognostic (7.88e-3)"	"unprognostic (9.72e-2)"	"unprognostic (6.00e-2)"	"unprognostic (3.45e-1)"		"unprognostic (1.77e-3)"									"unprognostic (2.14e-1)"	
GGTLC1	"dJ831C21.1, dJ831C21.2, GGTLA3, GGTLA4"	ENSG00000149435	"Gamma-glutamyltransferase light chain 1"	Q9BX51	20	23985050-23988779	"Metabolic proteins, Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	12	"lung: 31.3;testis: 18.0"	"Group enriched"	"Detected in some"	4	"Alveolar cells type 1: 226.1;Late spermatids: 126.0"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	15	"Lung Adenocarcinoma (TCGA): 24.8"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Alveolar cells type 1, Testis - Early spermatids, Testis - Late spermatids"									"HPA045635, HPA047534"	Uncertain						NA	NA				"Cluster 44: Testis - Spermatogenesis"		"Cluster 30: Non-specific - Gene expression regulation"	"Cluster 72: Alveolar cells - Lung function"	1			"HPA045635: AB_2679400, HPA047534: AB_2680079"																"unprognostic (1.42e-4)"	"unprognostic (5.21e-1)"	"unprognostic (4.88e-3)"												"unprognostic (3.48e-1)"	
